Hour,PV_Generation
0,0.0
1,0.0
2,0.0
3,0.0
4,0.005123287671232877
5,0.022731506849315065
6,0.08168767123287672
7,0.17155890410958904
8,0.2755561643835617
9,0.3702986301369863
10,0.43998082191780824
11,0.4722
12,0.45994520547945206
13,0.40850410958904104
14,0.32367945205479454
15,0.21702191780821917
16,0.11784931506849315
17,0.04421643835616438
18,0.010580821917808219
19,0.0008246575342465755
20,0.0
21,0.0
22,0.0
23,0.0
